annotation_id,instance_id,model_label,task_outcome,sampling_stratum,integrity_status,false_accept,false_reject,difficulty,has_replay
annotation-004,matplotlib__matplotlib-20676,claude,unresolved,claude_high_churn_unresolved,valid,False,False,<15 min fix,True
annotation-005,sympy__sympy-17655,claude,unresolved,claude_high_churn_unresolved,valid,False,False,<15 min fix,True
annotation-009,pylint-dev__pylint-4661,claude,unresolved,claude_high_churn_unresolved,valid,True,False,15 min - 1 hour,True
annotation-010,django__django-16263,claude,unresolved,claude_high_churn_unresolved,valid,False,False,1-4 hours,True
annotation-015,sympy__sympy-21930,claude,unresolved,claude_high_churn_unresolved,valid,True,False,15 min - 1 hour,True
annotation-016,sphinx-doc__sphinx-9461,claude,unresolved,claude_high_churn_unresolved,valid,False,False,1-4 hours,True
annotation-017,astropy__astropy-14598,claude,unresolved,claude_high_churn_unresolved,valid,False,False,15 min - 1 hour,True
annotation-018,django__django-14011,claude,unresolved,claude_high_churn_unresolved,valid,False,False,1-4 hours,True
annotation-019,sphinx-doc__sphinx-8548,claude,unresolved,claude_high_churn_unresolved,valid,True,False,1-4 hours,False
annotation-020,sympy__sympy-16597,claude,unresolved,claude_high_churn_unresolved,valid,True,False,1-4 hours,False
annotation-022,astropy__astropy-13236,claude,unresolved,claude_false_accept,valid,True,False,15 min - 1 hour,False
annotation-026,pydata__xarray-6992,claude,unresolved,claude_false_accept,valid,True,False,>4 hours,False
annotation-027,pytest-dev__pytest-5840,claude,unresolved,claude_false_accept,valid,True,False,15 min - 1 hour,False
annotation-028,sphinx-doc__sphinx-11510,claude,unresolved,claude_false_accept,valid,True,False,1-4 hours,False
annotation-029,sympy__sympy-20428,claude,unresolved,claude_false_accept,valid,True,False,15 min - 1 hour,False
annotation-032,sphinx-doc__sphinx-8551,claude,unresolved,claude_false_accept,valid,True,False,15 min - 1 hour,False
annotation-033,astropy__astropy-13398,claude,unresolved,claude_false_accept,valid,True,False,1-4 hours,False
annotation-034,django__django-11400,claude,unresolved,claude_false_accept,valid,True,False,1-4 hours,False
annotation-037,django__django-12125,claude,resolved,claude_false_reject,valid,False,True,<15 min fix,True
annotation-038,django__django-14631,claude,resolved,claude_false_reject,valid,False,True,1-4 hours,False
annotation-040,django__django-13297,claude,resolved,claude_false_reject,valid,False,True,<15 min fix,False
annotation-041,sphinx-doc__sphinx-7590,claude,resolved,claude_false_reject,valid,False,True,>4 hours,True
annotation-047,pylint-dev__pylint-6386,claude,resolved,claude_false_reject,valid,False,True,15 min - 1 hour,False
annotation-048,pytest-dev__pytest-5787,claude,resolved,claude_false_reject,valid,False,True,1-4 hours,False
annotation-049,sphinx-doc__sphinx-9658,claude,resolved,claude_false_reject,valid,False,True,15 min - 1 hour,False
annotation-051,pydata__xarray-7393,claude,resolved,claude_concise_success,valid,False,True,15 min - 1 hour,False
annotation-052,scikit-learn__scikit-learn-14983,claude,resolved,claude_concise_success,valid,False,True,<15 min fix,False
annotation-053,sympy__sympy-19346,claude,resolved,claude_concise_success,valid,False,True,15 min - 1 hour,False
annotation-055,sympy__sympy-15345,claude,resolved,claude_concise_success,valid,False,True,<15 min fix,False
annotation-057,django__django-13109,claude,resolved,claude_concise_success,valid,False,True,<15 min fix,False
annotation-061,django__django-13344,gpt,unresolved,gpt_provenance_suspect,suspect,True,False,1-4 hours,False
annotation-062,django__django-14034,gpt,unresolved,gpt_provenance_suspect,suspect,True,False,15 min - 1 hour,False
annotation-064,django__django-16493,gpt,unresolved,gpt_provenance_suspect,suspect,True,False,15 min - 1 hour,False
annotation-068,matplotlib__matplotlib-22871,gpt,unresolved,gpt_provenance_suspect,suspect,True,False,15 min - 1 hour,True
annotation-071,sympy__sympy-18763,gpt,unresolved,gpt_provenance_suspect,suspect,True,False,<15 min fix,False
annotation-072,django__django-12754,gpt,resolved,gpt_provenance_suspect,suspect,False,False,15 min - 1 hour,False
annotation-074,django__django-13158,gpt,resolved,gpt_provenance_suspect,suspect,False,False,15 min - 1 hour,True
annotation-076,astropy__astropy-13398,gpt,unresolved,gpt_valid_unresolved,valid,True,False,1-4 hours,False
annotation-078,astropy__astropy-14365,gpt,unresolved,gpt_valid_unresolved,valid,True,False,15 min - 1 hour,False
annotation-080,astropy__astropy-8707,gpt,unresolved,gpt_valid_unresolved,valid,True,False,15 min - 1 hour,True
annotation-081,astropy__astropy-8872,gpt,unresolved,gpt_valid_unresolved,valid,True,False,15 min - 1 hour,False
annotation-082,django__django-10097,gpt,unresolved,gpt_valid_unresolved,valid,True,False,<15 min fix,False
annotation-086,django__django-15161,claude,resolved,complex_fill,valid,False,False,15 min - 1 hour,True
annotation-087,sphinx-doc__sphinx-10673,claude,resolved,complex_fill,valid,False,False,15 min - 1 hour,False
annotation-091,django__django-13158,claude,resolved,complex_fill,valid,False,False,15 min - 1 hour,True
annotation-093,astropy__astropy-13977,claude,resolved,complex_fill,valid,False,True,15 min - 1 hour,False
annotation-094,sympy__sympy-23950,claude,resolved,complex_fill,valid,False,True,15 min - 1 hour,False
annotation-095,django__django-16938,claude,resolved,complex_fill,valid,False,False,15 min - 1 hour,False
annotation-096,matplotlib__matplotlib-14623,claude,resolved,complex_fill,valid,False,True,15 min - 1 hour,False
annotation-097,sympy__sympy-18698,claude,resolved,complex_fill,valid,False,True,15 min - 1 hour,False
